央视,#genre#
CCTV17农业农村HD,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
少儿,#genre#
CCTV14少儿,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvchild_2/index.m3u8
CCTV14少儿,https://cctvalih5ca.v.myalicdn.com/live/cctvchild_2/index.m3u8
CCTV14少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV14少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV14少儿HD,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
甘肃少儿,http://stream.gstv.com.cn/sepd/sd/live.m3u8
山西少儿,http://live2.sxrtv.com/flvss?bitrate=800000&channel=Shan1XiChild
云南少儿,http://edge2.yntv.cn/channels/yntv/ynse/flv:sd/live
南京少儿,http://ls.qingting.fm/live/3701149.m3u8
哈哈卡通,http://125.210.152.18:9090/live/XDKT.m3u8
哈哈炫动,http://39.134.66.66/PLTV/88888888/224/3221225534/index.m3u8
卡酷少儿,http://ivi.bupt.edu.cn/hls/btv10.m3u8
卡酷少儿,http://111.12.102.68:6610/PLTV/77777777/224/3221225730/index.m3u8?
卡酷少儿,http://39.134.66.66/PLTV/88888888/224/3221225562/index.m3u8
CCTV新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2_hd.m3u8
优漫卡通,http://111.12.102.68:6610/PLTV/77777777/224/3221225791/index.m3u8?
优漫卡通,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/youmankaton/1.m3u8
优漫卡通,http://39.134.66.66/PLTV/88888888/224/3221225556/index.m3u8
炫动卡通,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/xuandongkaton/1.m3u8
金鹰卡通,http://223.82.250.72/live/jinyingkaton/1.m3u8
金鹰卡通,http://111.12.102.68:6610/PLTV/77777777/224/3221225702/index.m3u8?
金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/index.m3u8
嘉佳卡通,http://111.12.102.68:6610/PLTV/77777777/224/3221225797/index.m3u8?
哈哈炫动,http://111.12.102.68:6610/PLTV/77777777/224/3221225711/index.m3u8?
新版老版猫和老鼠，猫和老鼠大电影轮播,http://kumeitv.xyz/kumei/bili.php?id=14300538
卫视,#genre#
湖南卫视,http://ivi.bupt.edu.cn/hls/hunantv.m3u8
湖南卫视,http://223.110.243.173/PLTV/3/224/3221227220/index.m3u8
湖南卫视HD,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225532/index.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jstv.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225568/index.m3u8
江苏卫视HD,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dftv.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225548/index.m3u8
东方卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225598/index.m3u8
东方卫视HD,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
安徽卫视,http://223.110.245.147/ott.js.chinamobile.com/PLTV/3/224/3221225634/index.m3u8
安徽卫视,http://39.134.66.66/PLTV/88888888/224/3221225586/index.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahtv.m3u8
安徽卫视HD,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljtv.m3u8
黑龙江卫视,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/hdheilongjiangstv/1.m3u8
黑龙江卫视HD,http://223.82.250.72/live/hdheilongjiangstv/1.m3u8
黑龙江卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225537/index.m3u8
黑龙江卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225543/index.m3u8
辽宁卫视,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lntv.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
辽宁卫视HD,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
深圳卫视,http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225551/index.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/sztv.m3u8
深圳卫视HD,http://ivi.bupt.edu.cn/hls/szhd.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdtv.m3u8
广东卫视,http://39.134.66.66/PLTV/88888888/224/3221225544/index.m3u8
广东卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225587/index.m3u8
广东卫视HD,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
